Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
French Polynesia,PYF,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.145,12.274,12.143,12.029,11.889,11.789,11.715,11.573,11.572,11.565,12.951,12.531,11.888,11.749,11.75
Gabon,GAB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.08988731455126,7.09175334258654,5.25107691750407,5.63869900338696,4.31496444107469,3.8788993950789,2.09144220829562,0.472642030911146,0.83791658082157,3.92080879452831,-1.8377610635094,1.46795731508091,3.03761449525692,2.44588083096593,3.38390760783467
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,8356.74662013345,10219.1139339454,9296.96587941088,9197.70106323947,9201.36276648105,7047.12654634355,6677.07003901644,6921.73373135624,7624.2775233771,7441.1786472281,6605.80346077904,8181.40914134398,8409.20741452279,8071.39777400455,8218.76307061848
Gabon,GAB,"Population, total",SP.POP.TOTL,1719879,1781985,1846889,1913059,1978399,2040989,2100306,2156900,2212318,2267706,2322539,2376722,2430747,2484789,2538952
Gabon,GAB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.07808995246887,2.987459897995,3.01340007781982,3.02971005439758,2.66667008399963,2.82435985823512,2.66773089670199,3.55570801059931,3.071542956299,2.87430983233369,3.39874087928788,2.7007928993976,2.20773650357931,2.31594287726056,..
Gabon,GAB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.47556901,2.55771565,2.42097569,2.84087205,2.53282261,2.65743947,3.1076982,2.78068876,2.75235105,2.7768569,3.41717625,2.69024062,2.85591531,..,..
Gabon,GAB,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.3,88.7,89.3,86.4,87.1,87.3,88.1,86.3,89.6,90.3,91.1,91.8,93.5,94.1,..
Gabon,GAB,Individuals using the Internet (% of population),IT.NET.USER.ZS,13,18,24,30.538,38.0712,45.7845,48.0523,51.6049,55.4202,59.5176,63.9179,68.6436,70.7069,71.9256,..
Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.715,65.102,65.438,65.751,66.07,66.336,66.583,66.816,67.043,67.337,67.073,67.072,67.713,68.337,..
Gabon,GAB,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,129.775996342797,..,..,..,..,..,..,..,100.171603677222,..,..,..,..,..
